규칙,청산,진입,n,승률,PF,평균%,누적%,MDD,흑자월,무작위PF,무작위max,초과,점수
페이드40+미국장,1.0/3.0/288,시장가,402,36.56716417910448,1.0233805457007565,0.01503402042423496,1.5431411967108843,-30.937341741815917,5/13,0.9348826083161043,0.9781810770141554,0.045199468686601185,0.045199468686601185
페이드40+미국장,1.0/3.0/288,지정가,373,34.316353887399465,0.938050379859575,-0.04111283786058465,-17.65513694217271,-29.215177044107232,4/13,0.8818623952817312,0.9862215487424254,-0.048171168882850446,-0.048171168882850446
페이드40+미국장,1.5/3.0/288,시장가,357,42.857142857142854,1.0046040887078305,0.0034535093430769982,-3.889387643339548,-24.396416295783872,6/13,1.0188994558668103,1.1558621578113488,-0.15125806910351836,-0.15125806910351836
페이드40+미국장,1.5/3.0/288,지정가,327,43.730886850152906,1.051050319285338,0.03816799020951046,7.818632772120049,-21.9381533686148,6/13,0.9138496413026607,1.0124451433805872,0.038605175904750766,0.038605175904750766
페이드40+미국장,1.5/4.5/576,시장가,247,36.43724696356275,1.1290977615795323,0.12307809820824535,26.71297522163545,-14.56684623373501,6/13,0.995980157904775,1.1447468089149921,-0.015649047335459798,-0.015649047335459798
페이드40+미국장,1.5/4.5/576,지정가,237,35.44303797468354,0.981225612662419,-0.01798183129096685,-9.460162402699579,-21.852478464013323,5/13,0.98880749551462,1.1046630400241735,-0.12343742736175445,-0.12343742736175445
페이드40+미국장,2.0/4.0/576,시장가,224,41.07142857142857,0.9254122436874946,-0.0808949593044156,-21.411658182370484,-46.95560815423052,4/13,0.9649112984980803,1.2276612372463687,-0.302248993558874,-0.302248993558874
페이드40+미국장,2.0/4.0/576,지정가,215,40.0,0.8614279502407689,-0.14983694654837848,-31.381973280759844,-35.696778945508434,5/13,0.9734197937543754,1.1343650916225645,-0.2729371413817956,-0.2729371413817956
눌림목 EMA4h,1.0/2.0/144,시장가,964,37.136929460580916,0.8073898311073407,-0.10695020117752979,-66.53898109285706,-71.80747528399473,2/13,0.7912249018155201,0.8130934598532479,-0.00570362874590713,-0.00570362874590713
눌림목 EMA4h,1.0/2.0/144,지정가,907,39.470782800441015,0.9000494756907296,-0.05260653186323337,-41.57576589667761,-51.364422206416904,4/13,0.9028661782146535,0.9431151154539428,-0.043065639763213204,-0.043065639763213204
눌림목 EMA4h,1.0/3.0/288,시장가,640,34.0625,0.9246004040575763,-0.05081022041749805,-32.7676266683225,-50.763920424429664,5/13,0.8484243588741948,0.9167109523094356,0.007889451748140708,0.007889451748140708
눌림목 EMA4h,1.0/3.0/288,지정가,620,33.87096774193548,0.9733860878701699,-0.01760179977273951,-16.49922799973068,-38.0021118910657,9/13,0.9310389373936422,1.0043529131552194,-0.03096682528504946,-0.03096682528504946
눌림목 EMA4h,1.5/3.0/288,시장가,505,42.37623762376238,0.9690932340154762,-0.023549105389427664,-17.500887784925734,-39.70827599476643,5/13,0.8321788094770067,0.9580329519760133,0.011060282039462854,0.011060282039462854
눌림목 EMA4h,1.5/3.0/288,지정가,499,42.48496993987976,1.003689704748836,0.0027820531357536375,-5.866162842246247,-32.473519935751696,7/13,0.9288244851992822,0.9732564041561541,0.0304333005926819,0.0304333005926819
눌림목 EMA4h,1.5/4.5/576,시장가,335,34.92537313432836,0.9755595522589258,-0.023612365260878142,-14.966599464994657,-40.31853880678009,7/13,0.8942757675007454,1.0121581066467167,-0.036598554387790916,-0.036598554387790916
눌림목 EMA4h,1.5/4.5/576,지정가,333,35.43543543543544,1.0398386006855167,0.03793961866019542,4.211040515080344,-30.82385769876118,6/13,1.0222685862402185,1.1551501934722894,-0.11531159278677272,-0.11531159278677272
눌림목 EMA4h,2.0/4.0/576,시장가,290,43.44827586206896,1.1112878376895121,0.11490354211831215,27.95874646207408,-27.59165279418021,8/13,1.002407310936489,1.0463859899104289,0.06490184777908325,0.06490184777908325
눌림목 EMA4h,2.0/4.0/576,지정가,278,42.805755395683455,1.081870693298255,0.08449934372371931,16.548751001814722,-36.36800493799646,8/13,0.9068155829949339,0.9346443938789718,0.1472262994192831,0.1472262994192831
눌림목 EMA1d,1.0/2.0/144,시장가,981,38.226299694189606,0.8305572206442519,-0.09306229286735787,-62.40015504439549,-68.28284123470199,3/13,0.7845734041890692,0.8014600173824722,0.02909720326177967,0.02909720326177967
눌림목 EMA1d,1.0/2.0/144,지정가,924,38.85281385281385,0.8910330692767534,-0.057831518236116285,-44.89727640768353,-52.416005256471024,4/13,0.8799677116845869,0.9135904867185648,-0.02255741744181139,-0.02255741744181139
눌림목 EMA1d,1.0/3.0/288,시장가,638,35.10971786833856,0.9420386890683577,-0.03832454079683595,-27.05857227439168,-43.807735497298694,6/13,0.8190084810570241,0.9304009904640241,0.011637698604333613,0.011637698604333613
눌림목 EMA1d,1.0/3.0/288,지정가,630,33.65079365079365,0.964452660119447,-0.02343158987097781,-19.685425260142175,-40.071612166859246,7/13,0.941133005363939,0.9953592637748683,-0.030906603655421305,-0.030906603655421305
